Id	Reputation	CreationDate	DisplayName	LastAccessDate	WebsiteUrl	Location	AboutMe	Views	UpVotes	DownVotes	AccountID
-1	1	2012-02-14T18:31:38.453	Community	2012-02-14T18:31:38.453	http://meta.stackexchange.com/	on the server farm	"'<p>Hi, I''m not really a person.</p> <p>I''m a background process that helps keep this site clean!</p> <p>I do things like</p> <ul> <li>Randomly poke old unanswered questions every hour so they get some attention</li> <li>Own community questions and answers so nobody gets unnecessary reputation from them</li> <li>Own downvotes on spam/evil posts that get permanently deleted</li> <li>Own suggested edits from anonymous users</li> <li><a href=""http://meta.stackexchange.com/a/92006"">Remove abandoned questions</a></li> </ul>'"	0	11543	9370	-1
2	101	2012-02-14T20:17:36.050	Geoff Dalgas	2016-06-06T23:28:57.257	http://stackoverflow.com	"Corvallis, OR"	"'<p>Developer on the Stack Overflow team. Find me on</p> <p><a href=""http://www.twitter.com/SuperDalgas"" rel=""nofollow noreferrer"">Twitter</a> <br><br> <a href=""http://blog.stackoverflow.com/2009/05/welcome-stack-overflow-valued-associate-00003/"">Stack Overflow Valued Associate #00003</a></p>'"	19	0	0	2
3	3014	2012-02-14T20:20:16.397	Andy W	2018-08-01T16:29:52.423	http://andrewpwheeler.wordpress.com/	"Dallas, TX, United States"	'<p>Assistant professor of criminology at the University of Texas at Dallas.</p>'	228	4442	12	298433
4	101	2012-02-14T20:22:01.620	adrian	2018-08-14T21:03:27.560	http://radbox.org/	"Seattle, WA"	"'<p>Try my open-source projects:</p> <p><a href=""http://beets.radbox.org/"" rel=""nofollow"">beets</a>, a flexible command-line music tagger and organizer written in Python. A geeky swiss army knife of music library management.</p> <p><a href=""http://loglet.radbox.org/"" rel=""nofollow"">Loglet</a>, an easy way to send log messages to the cloud and pick them up from anywhere.</p> <p><a href=""http://alwaysreading.radbox.org/"" rel=""nofollow"">Alwaysreading</a>, a reading queue (Instapaper-like) for research papers.</p> <p>And one toy: <a href=""http://alwayswriting.radbox.org/"" rel=""nofollow"">five random words</a> for inspiration in creative writing.</p>'"	9	3	0	17485
5	1929	2012-02-14T20:22:08.477	Stefano Borini	2018-08-05T13:52:55.443	http://ForTheScience.org		''	366	20	1	29108
6	445	2012-02-14T20:22:35.090	Brian Ballsun-Stanton	2018-07-01T05:07:38.053	http://denubis.wordpress.com	"Sydney, Australia"	"'<p>Dr. Brian Ballsun-Stanton is a Philosopher, Information Technologist, and Game Theorist exploring the Philosophy of Data. He has a Ph.D in Philosophy from The University of New South Wales in addition to a MS &amp; BS in Information Technology from the Rochester Institute of Technology.</p> <p>He has developed a new methodology (The Social Data Flow Network) to explore how individuals in the field understand the nature of data. Currently, his research is exploring the social construction of technology, focusing on the user-driven change of technological tools, in addition to his research of data warehouse ETL strategies for disparate data sets.</p> <p>Beyond philosophy, Dr. Ballsun-Stanton has experience in haptic research, specifically the use of gesture control of human computer interfaces and an abiding interest in robotics as seen in his flying robotic cable-array manta-ray.</p> <p>His interests include the academic study of Role-Playing games, the exploration of how science fiction literature transforms reality, and the social consequences of a technological world outpacing society''s cultural assimilation of its consequences.</p> <p>He is a long time gamer, having helped to design the indie game Pax Draconis. He has been running an Ars Magica game for the last 6 years and has extensive experience with indie games and both 3.5 and 4e D&amp;D.</p> <p>Papers you may be interested in:</p> <ul> <li><a href=""http://www.mendeley.com/c/4420051955/p/2110651/ballsun-stanton-2012-constrained-optimization-in-dungeons-and-dragons--a-theory-of-requirements-generation-for-effective-character-creation/"" rel=""nofollow"">Brian Ballsun-stanton, Samuel Russell (2012) Constrained Optimization in Dungeons and Dragons : A Theory of Requirements Generation for Effective Character Creation.</a></li> <li><a href=""http://www.mendeley.com/c/4420051945/p/2110651/ballsun-stanton-2012-clerics--magic-users--fighters-and-thieves--theoretical-approaches-to-rules-questions-on-the-role-playing-games-stack-exchange/"" rel=""nofollow"">Brian Ballsun-stanton, Ernest Mueller, C Ross Eskridge (2012) Clerics , Magic Users , Fighters and Thieves : Theoretical Approaches to Rules Questions on the Role-Playing Games Stack Exchange.</a></li> <li><a href=""http://www.mendeley.com/research/asking-about-data-experimental-philosophy-information-technology-1/"" rel=""nofollow"">Brian Ballsun-Stanton (2010) Asking about data: Experimental philosophy of Information Technology,</a> 119-124. In 5th International Conference on Computer Sciences and Convergence Information Technology.</li> <li><a href=""http://www.mendeley.com/research/c3t-command-control-twitter-socially-constructed-twitter-applications-philosophy-data/"" rel=""nofollow"">Brian Ballsun-Stanton, Kate Carruthers (2010) #c3t the command &amp; control of Twitter: On a socially constructed Twitter &amp; applications of the Philosophy of Data, 161-165</a>. In 5th International Conference on Computer Sciences and Convergence Information Technology.</li> </ul>'"	79	9	1	97049
7	101	2012-02-14T20:22:57.977	Qiaochu Yuan	2018-08-02T22:43:44.753	http://math.berkeley.edu/~qchu/	"Berkeley, CA"	'<p>I am a graduate student at UC Berkeley.</p>'	68	2	0	127441
8	18603	2012-02-14T20:23:21.477	Henry	2018-09-02T03:39:42.913	http://www.math.upenn.edu/~htowsner	"University of Pennsylvania, PA"	'<p>Currently an Assistant Professor of Mathematics at the University of Pennsylvania.</p>'	1017	628	30	510624
9	101	2012-02-14T20:23:31.197	agrimaldi	2012-02-14T20:23:31.197	http://www.github.com/sopo	"Paris, France"	''	1	0	0	135709
10	4985	2012-02-14T20:23:42.077	Lev Reyzin	2018-09-01T15:37:12.077	http://www.levreyzin.com	"Chicago, IL"	"'<p> Associate Professor at UIC <a href=""http://www.math.uic.edu/"" rel=""nofollow noreferrer"">Math</a></p>'"	759	383	6	519934
11	101	2012-02-14T20:23:46.133	Shamim Hafiz	2012-11-16T03:05:54.860	http://www.linkedin.com/pub/shamim-hafiz/4/a6/0	"Dhaka, Bangladesh"	'<p>Trying to catch up with and fill in the technological blanks...</p>'	1	0	0	128749
12	4291	2012-02-14T20:24:22.597	Lars Kotthoff	2018-07-07T14:43:59.777			"'<p>I''m an artificial intelligence researcher, but on SO I mostly answer questions on D3. I''m also available for consulting if you need help beyond what you''ll get here. Just drop me an email at lars@larsko.org.</p> <p>You can also book a session with me on <a href=""http://www.airpair.com/javascript/expert-lars-kotthoff"" rel=""nofollow noreferrer"">airpair</a> or on <a href=""https://www.codementor.io/larsko"" rel=""nofollow noreferrer"">codementor</a>.</p>'"	210	9	3	1201401
13	19840	2012-02-14T20:24:46.497	Ben Webster	2018-08-30T00:53:03.063	https://uwaterloo.ca/scholar/b2webste	"Waterloo, ON, Canada"	"'<p>I''m an Associate Professor at the University of Waterloo, and an Associate Faculty member at the Perimeter Institute. My interests are geometric representation theory, knot homology and categorification.</p>'"	2708	321	70	166002
14	981	2012-02-14T20:25:18.800	jurassic	2016-07-05T17:08:52.703			"'<p>Anti-matlabist, pro-python grad student at Caltech. I''m here on SE to learn useful bits of programming and workflow design (e.g. version control) that can be applied to science, and also to help others when able. </p> <p>I dabble in Python, R, latex/bibtex/tikz, elisp and scheme, and matlab (when forced).</p> <p>If you work in an academic setting, please help educate people about free software alternatives to the bloated behemoth that is MATLAB.</p>'"	136	86	3	397710
15	950	2012-02-14T20:25:52.580	Matias Valdenegro	2018-09-01T23:55:31.020	http://mvaldenegro.github.io	"Bremen, Germany"	''	44	227	0	141826
16	108	2012-02-14T20:25:53.047	Uwat	2015-04-20T23:06:44.073			''	3	3	0	470379
17	101	2012-02-14T20:26:39.007	Aarthi	2013-05-07T14:50:35.083	http://blog.aarthid.me/	"New York, United States"	"'<p>I''m a former Stack Exchange employee. </p> <p>For all site support issues, please <a href=""http://meta.stackoverflow.com/help"">contact the team</a>.</p>'"	4	0	0	453252
18	734	2012-02-14T20:26:43.930	Chang	2017-01-17T23:45:12.880			''	16	10	0	318519
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
